,Id,No,Si,departamento,habilitados,nomarcados,nombre,nulos,total votos,validos
238,01157,2884,1620,ANTIOQUIA,12094,46,JARDIN,44,4594,4504
239,01160,2341,957,ANTIOQUIA,11023,36,JERICO,39,3373,3298
240,01172,1674,933,ANTIOQUIA,9204,56,LIBORINA,40,2703,2607
241,01175,1065,777,ANTIOQUIA,7467,31,MACEO,26,1899,1842
242,01178,11993,5481,ANTIOQUIA,38176,103,MARINILLA,190,17767,17474
243,01001,431173,253548,ANTIOQUIA,1508418,3309,MEDELLIN,6754,694784,684721
244,01181,776,953,ANTIOQUIA,6043,63,MONTEBELLO,35,1827,1729
245,01184,44,1073,ANTIOQUIA,2724,19,MURINDO,14,1150,1117
246,01187,1016,1846,ANTIOQUIA,13626,119,MUTATA,49,3030,2862
247,01190,1626,786,ANTIOQUIA,9015,70,NARIÑO,31,2513,2412
248,01191,1799,1937,ANTIOQUIA,18186,41,NECHI,57,3834,3736
249,01192,2860,4359,ANTIOQUIA,32486,101,NECOCLI,155,7475,7219
250,01193,449,273,ANTIOQUIA,2719,11,OLAYA,7,740,722
251,01196,3265,2032,ANTIOQUIA,15806,63,PEÑOL,55,5415,5297
252,01199,608,1632,ANTIOQUIA,6089,48,PEQUE,43,2331,2240
253,01202,1138,593,ANTIOQUIA,7113,32,PUEBLORRICO,24,1787,1731
254,01208,2229,1186,ANTIOQUIA,17020,38,REMEDIOS,126,3579,3415
255,01211,4703,2145,ANTIOQUIA,15100,45,RETIRO,58,6951,6848
256,01214,32596,14361,ANTIOQUIA,94806,197,RIONEGRO,637,47791,46957
257,01217,1501,778,ANTIOQUIA,7052,44,SABANALARGA,41,2364,2279
258,01218,16903,9955,ANTIOQUIA,59616,39,SABANETA,285,27182,26858
259,01220,1621,782,ANTIOQUIA,13483,47,SALGAR,24,2474,2403
260,01256,9020,3329,ANTIOQUIA,26217,122,SANTUARIO,150,12621,12349
261,01259,3073,1516,ANTIOQUIA,26169,27,SEGOVIA,68,4684,4589
262,01262,6550,2319,ANTIOQUIA,27198,158,SONSON,266,9293,8869
263,01265,2266,1875,ANTIOQUIA,12063,58,SOPETRAN,60,4259,4141
264,01268,2889,1579,ANTIOQUIA,14473,59,TAMESIS,52,4579,4468
265,01270,2311,3477,ANTIOQUIA,26186,90,TARAZA,110,5988,5788
266,01271,691,503,ANTIOQUIA,5883,22,TARSO,14,1230,1194
267,01274,1362,742,ANTIOQUIA,8726,37,TITIRIBI,39,2180,2104
268,01277,507,798,ANTIOQUIA,4383,61,TOLEDO,63,1429,1305
269,01280,8887,11378,ANTIOQUIA,84866,277,TURBO,371,20913,20265
270,01282,813,951,ANTIOQUIA,6351,24,URAMITA,37,1825,1764
271,01283,2959,2644,ANTIOQUIA,22361,123,URRAO,138,5864,5603
272,01286,1069,1072,ANTIOQUIA,12054,63,VALDIVIA,57,2261,2141
273,01289,893,597,ANTIOQUIA,5665,22,VALPARAISO,22,1534,1490
274,01290,1268,503,ANTIOQUIA,10165,44,VEGACHI,22,1837,1771
275,01292,1767,1097,ANTIOQUIA,10977,26,VENECIA,26,2916,2864
276,01293,692,437,ANTIOQUIA,6006,25,YALI,6,1160,1129
277,01295,6091,2941,ANTIOQUIA,33092,264,YARUMAL,187,9483,9032
278,01298,2055,1344,ANTIOQUIA,15878,56,YOLOMBO,57,3512,3399
279,01301,1726,1672,ANTIOQUIA,18939,59,ZARAGOZA,88,3545,3398
280,28010,993,2187,SUCRE,9619,48,BUENAVISTA,22,3250,3180
281,28020,623,2126,SUCRE,8757,41,CAIMITO,24,2814,2749
282,28045,466,869,SUCRE,4403,40,CHALAN,19,1394,1335
283,28040,6973,10907,SUCRE,45886,120,COROZAL,206,18206,17880
284,28041,1915,1918,SUCRE,10921,24,COVEÑAS,41,3898,3833
285,28049,1701,1811,SUCRE,12792,24,GUARANDA,48,3584,3512
286,28060,2857,3935,SUCRE,26077,85,MAJAGUAL,52,6929,6792
287,28080,1753,3322,SUCRE,12813,46,MORROA,101,5222,5075
288,28100,2019,5328,SUCRE,20135,65,OVEJAS,58,7470,7347
289,28120,1011,2323,SUCRE,9642,31,PALMITO,29,3394,3334
290,28160,4596,6816,SUCRE,30974,126,SAMPUES,170,11708,11412
291,28260,3493,5470,SUCRE,25579,82,SINCE,112,9157,8963
292,28001,31435,37461,SUCRE,195898,722,SINCELEJO,771,70389,68896
293,28280,2459,3100,SUCRE,20688,59,SUCRE,52,5670,5559
294,28300,2300,5427,SUCRE,22816,54,TOLU,89,7870,7727
295,28320,2060,5227,SUCRE,17811,74,TOLUVIEJO,63,7424,7287
296,60001,4463,4403,AMAZONAS,34592,40,LETICIA,84,8990,8866
297,60022,68,265,AMAZONAS,1304,7,TARAPACA,4,344,333
298,46040,9666,4123,CASANARE,26606,96,AGUAZUL,599,14484,13789
299,46120,271,663,CASANARE,1551,9,CHAMEZA,25,968,934
300,46520,3265,1459,CASANARE,10075,40,MANI,86,4850,4724
301,46540,3998,1639,CASANARE,11103,38,MONTERREY,87,5762,5637
302,46560,2272,579,CASANARE,6023,41,NUNCHIA,67,2959,2851
303,46640,1800,1182,CASANARE,7605,30,OROCUE,61,3073,2982
304,46700,2684,662,CASANARE,6622,34,PORE,91,3471,3346
305,46760,305,337,CASANARE,1260,20,RECETOR,43,705,642
306,46800,664,680,CASANARE,2758,13,SABANALARGA,30,1387,1344
307,46815,97,563,CASANARE,1537,14,SACAMA,77,751,660
308,46840,1350,528,CASANARE,4325,45,TAMARA,42,1965,1878
309,46850,6037,2209,CASANARE,15751,60,TAURAMENA,139,8445,8246
310,46865,2966,735,CASANARE,9211,42,TRINIDAD,87,3830,3701
311,46880,5625,2425,CASANARE,19519,59,VILLANUEVA,173,8282,8050
312,46001,36503,14561,CASANARE,102568,229,YOPAL,858,52151,51064
313,50073,7,17,GUAINIA,338,0,CACAHUAL,1,25,24
314,50001,2436,2663,GUAINIA,19789,45,INIRIDA,50,5194,5099
315,50050,4,45,GUAINIA,579,0,MAPIRIPANA,0,49,49
316,21008,467,1525,MAGDALENA,9422,21,ALGARROBO,28,2041,1992
317,21010,555,962,MAGDALENA,26547,8,ARACATACA,25,1550,1517
318,21015,728,2827,MAGDALENA,13108,25,CHIVOLO,39,3619,3555
319,21016,8670,8629,MAGDALENA,81617,388,CIENAGA,117,17804,17299
320,21020,341,2251,MAGDALENA,10564,15,CONCORDIA,16,2623,2592
321,21031,4308,4609,MAGDALENA,51126,35,FUNDACION,97,9049,8917
322,21040,1643,2989,MAGDALENA,22148,47,GUAMAL,36,4715,4632
323,21046,552,1340,MAGDALENA,8926,20,PEDRAZA,14,1926,1892
